CollegeName,CollegeShortName,Fees
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)","IIITV-ICD,  Diu","1,05,000"
"National Institute of Food Technology, Entrepreneurship and Management (NIFTEM) - Thanjavur","NIFTEM, Thanjavur, Tamil Naidu","46,170"
"North Eastern Regional Institute of Science and Technology, Nirjuli (Itanagar),Arunachal Pradesh","NERIST Nirjuli ,Arunachal Pradesh","17,050"
"Indian Institute of Handloom Technology (IIHT), Chowkaghat, Varanasi","IIHT Varanasi, Uttar Pradesh","8,000"
"Chhattisgarh Swami Vivekanand Technical University, Bhilai (CSVTU Bhilai)","CSVTU, Chhattisgarh","54,500*"
"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar","ICT Bhubaneswar, Odisha","15,000"
"North-Eastern Hill University, Shillong","NEHU Shillong, Meghalaya","30,510"
Central University of Jammu,"Central University, Jammu","59,058*"
Dr. Harisingh Gour University,"Dr. H. S. Gour University, Sagar","25,000"
Central University Haryana,"Central University, Haryana","36,000"
"Birla Institute of Technology, Deoghar Off-Campus","BIT Deoghar, Jharkhand","1,30,000*"
"Birla Institute of Technology, Patna Off-Campus","BIT Patna, Bihar","1,30,000*"
"Indian Institute of Handloom Technology, Salem","IIHT Salem, Tamil Nadu","4,000"
HNB Garhwal University Srinagar (Garhwal),"HNB Garhwal, Uttarakhand",
"Pondicherry Engineering College, Puducherry","PTU, Puducherry",
"Gati Shakti Vishwavidyalaya, Vadodara","GSV Vadodara, Gujarat","76,550"
Central University of Jharkhand,CU Jharkhand,"21,046"
"National Institute of Electronics and Information Technology, Ropar (Punjab)","NIELIT, Ropar","50,000"
"National Institute of Electronics and Information Technology, Patna (Bihar)","NIELIT, Patna","50,000"
"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)","NIELIT, Ajmer","50,000"
"National Institute of Electronics and Information Technology, Gorakhpur (UP)","NIELIT, Gorakhpur","50,000"
"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)","NIELIT, Amethi","50,000"
Islamic University of Science and Technology Kashmir,"Islamic University, Kashmir","50,000"
Shri G. S. Institute of Technology and Science Indore,"G. S. Institute,Indore","50,000"
